.y.	group1	group2	effsize	n1	n2	conf.low	conf.high	magnitude
rate	C. briggsae I Arms	C. briggsae I Center	0.988344127657838	49	51	0.58	1.48	large
rate	C. briggsae II Arms	C. briggsae II Center	0.676131996582445	49	51	0.49	1.03	moderate
rate	C. briggsae III Arms	C. briggsae III Center	1.05572810589546	49	51	0.7	1.46	large
rate	C. briggsae IV Arms	C. briggsae IV Center	0.885697835114831	49	51	0.67	1.18	large
rate	C. briggsae V Arms	C. briggsae V Center	0.762728141138363	49	51	0.44	1.08	moderate
rate	C. briggsae X Arms	C. briggsae X Center	0.739028932700343	49	51	0.35	1.17	moderate
rate	C. elegans I Arms	C. elegans I Center	0.928667828874061	49	51	0.67	1.3	large
rate	C. elegans II Arms	C. elegans II Center	0.940460768996891	49	51	0.58	1.38	large
rate	C. elegans III Arms	C. elegans III Center	0.807639571927188	49	51	0.49	1.15	large
rate	C. elegans IV Arms	C. elegans IV Center	0.734698416055033	49	51	0.53	1.18	moderate
rate	C. elegans V Arms	C. elegans V Center	0.889932264400425	49	51	0.54	1.25	large
rate	C. elegans X Arms	C. elegans X Center	0.357157967483752	49	51	-0.05	0.81	small
rate	C. remanei I Arms	C. remanei I Center	0.614383498327482	20	50	0.18	1.15	moderate
rate	C. remanei II Arms	C. remanei II Center	0.815391278127676	25	49	0.5	1.19	large
rate	C. remanei III Arms	C. remanei III Center	0.836461327023404	25	47	0.51	1.31	large
rate	C. remanei IV Arms	C. remanei IV Center	0.791422341884382	14	41	0.44	1.3	moderate
rate	C. remanei V Arms	C. remanei V Center	1.03426177776924	42	50	0.78	1.35	large
rate	C. remanei X Arms	C. remanei X Center	0.0440889147163245	45	51	-0.39	0.45	negligible
rate	C. inopinata I Arms	C. inopinata I Center	0.189863904442212	49	51	-0.18	0.66	negligible
rate	C. inopinata II Arms	C. inopinata II Center	0.52895986353136	49	51	0.12	1	moderate
rate	C. inopinata III Arms	C. inopinata III Center	0.533329317871131	49	51	0.43	1.13	moderate
rate	C. inopinata IV Arms	C. inopinata IV Center	0.0129410766700698	49	51	-0.42	0.39	negligible
rate	C. inopinata V Arms	C. inopinata V Center	0.0517344117345215	49	51	-0.35	0.43	negligible
rate	C. inopinata X Arms	C. inopinata X Center	0.128451779982432	47	51	-0.24	0.71	negligible
rate	C. tropicalis I Arms	C. tropicalis I Center	0.321561558154427	49	51	-0.09	0.73	small
rate	C. tropicalis II Arms	C. tropicalis II Center	0.865738036971709	49	51	0.57	1.19	large
rate	C. tropicalis III Arms	C. tropicalis III Center	-0.0973394728775736	49	51	-0.47	0.27	negligible
rate	C. tropicalis IV Arms	C. tropicalis IV Center	1.14338191550409	49	51	0.9	1.65	large
rate	C. tropicalis V Arms	C. tropicalis V Center	0.397920270812695	49	51	0.03	0.77	small
rate	C. tropicalis X Arms	C. tropicalis X Center	-0.489047654289037	49	51	-0.85	-0.1	small
